2017-06-15 12:00:51,915 INFO [Druid-ConnectionPool-Log-29703247] c.a.d.p.DruidDataSourceStatLoggerImpl [DruidDataSourceStatLoggerImpl.java : 77] {"url":"jdbc:h2:D:\\soft\\job\\java\\javaIDE\\eclipse_jee\\bjhy_attachment_workspace\\server-management-parent\\server-management-main-web\\data\\platform;AUTO_SERVER=TRUE","dbType":"h2","name":"DataSource-29703247","activeCount":0,"activePeak":1,"activePeakTime":"2017-06-15 11:56:43","poolingCount":1,"poolingPeak":1,"poolingPeakTime":"2017-06-15 11:56:43","connectCount":2,"closeCount":2,"executeCount":3,"commitCount":1,"pstmtCacheHitCount":3,"startTransactionCount":1,"transactionHistogram":[0,1],"connectionHoldTimeHistogram":[0,0,2],"sqlList":[{"sql":"select count(*) as col_0_0_ from base_application applicatio0_ where 1=1","executeCount":1,"executeMillisMax":0,"executeMillisTotal":0,"executeHistogram":[1],"executeAndResultHoldHistogram":[1],"concurrentMax":1,"fetchRowCount":1,"fetchRowHistogram":[0,1],"inTransactionCount":1},{"sql":"select applicatio0_.id as id1_0_, applicatio0_.appId as appId2_0_, applicatio0_.createDate as createDa3_0_, applicatio0_.name as name4_0_ from base_application applicatio0_ where 1=1 order by applicatio0_.createDate DESC limit ?","executeCount":1,"executeMillisMax":0,"executeMillisTotal":0,"executeHistogram":[1],"executeAndResultHoldHistogram":[1],"concurrentMax":1,"fetchRowCount":2,"fetchRowHistogram":[0,1],"inTransactionCount":1},{"sql":"SELECT name,appId,createDate FROM base_application  WHERE 1=1  AND  (  id IN (?)  )  ORDER BY createDate DESC","executeCount":1,"executeMillisMax":0,"executeMillisTotal":0,"executeHistogram":[1],"executeAndResultHoldHistogram":[1],"concurrentMax":1,"fetchRowCount":1,"fetchRowHistogram":[0,1]}]}
2017-06-15 12:05:51,944 INFO [Druid-ConnectionPool-Log-29703247] c.a.d.p.DruidDataSourceStatLoggerImpl [DruidDataSourceStatLoggerImpl.java : 77] {"url":"jdbc:h2:D:\\soft\\job\\java\\javaIDE\\eclipse_jee\\bjhy_attachment_workspace\\server-management-parent\\server-management-main-web\\data\\platform;AUTO_SERVER=TRUE","dbType":"h2","name":"DataSource-29703247","activeCount":0,"poolingCount":1,"connectCount":0,"closeCount":0}
2017-06-15 12:10:51,945 INFO [Druid-ConnectionPool-Log-29703247] c.a.d.p.DruidDataSourceStatLoggerImpl [DruidDataSourceStatLoggerImpl.java : 77] {"url":"jdbc:h2:D:\\soft\\job\\java\\javaIDE\\eclipse_jee\\bjhy_attachment_workspace\\server-management-parent\\server-management-main-web\\data\\platform;AUTO_SERVER=TRUE","dbType":"h2","name":"DataSource-29703247","activeCount":0,"poolingCount":1,"connectCount":0,"closeCount":0}
2017-06-15 12:15:51,946 INFO [Druid-ConnectionPool-Log-29703247] c.a.d.p.DruidDataSourceStatLoggerImpl [DruidDataSourceStatLoggerImpl.java : 77] {"url":"jdbc:h2:D:\\soft\\job\\java\\javaIDE\\eclipse_jee\\bjhy_attachment_workspace\\server-management-parent\\server-management-main-web\\data\\platform;AUTO_SERVER=TRUE","dbType":"h2","name":"DataSource-29703247","activeCount":0,"poolingCount":1,"connectCount":0,"closeCount":0}
2017-06-15 12:20:51,947 INFO [Druid-ConnectionPool-Log-29703247] c.a.d.p.DruidDataSourceStatLoggerImpl [DruidDataSourceStatLoggerImpl.java : 77] {"url":"jdbc:h2:D:\\soft\\job\\java\\javaIDE\\eclipse_jee\\bjhy_attachment_workspace\\server-management-parent\\server-management-main-web\\data\\platform;AUTO_SERVER=TRUE","dbType":"h2","name":"DataSource-29703247","activeCount":0,"poolingCount":1,"connectCount":0,"closeCount":0}
2017-06-15 12:25:51,949 INFO [Druid-ConnectionPool-Log-29703247] c.a.d.p.DruidDataSourceStatLoggerImpl [DruidDataSourceStatLoggerImpl.java : 77] {"url":"jdbc:h2:D:\\soft\\job\\java\\javaIDE\\eclipse_jee\\bjhy_attachment_workspace\\server-management-parent\\server-management-main-web\\data\\platform;AUTO_SERVER=TRUE","dbType":"h2","name":"DataSource-29703247","activeCount":0,"poolingCount":1,"connectCount":0,"closeCount":0}
2017-06-15 12:30:51,950 INFO [Druid-ConnectionPool-Log-29703247] c.a.d.p.DruidDataSourceStatLoggerImpl [DruidDataSourceStatLoggerImpl.java : 77] {"url":"jdbc:h2:D:\\soft\\job\\java\\javaIDE\\eclipse_jee\\bjhy_attachment_workspace\\server-management-parent\\server-management-main-web\\data\\platform;AUTO_SERVER=TRUE","dbType":"h2","name":"DataSource-29703247","activeCount":0,"poolingCount":1,"connectCount":0,"closeCount":0}
2017-06-15 12:35:51,952 INFO [Druid-ConnectionPool-Log-29703247] c.a.d.p.DruidDataSourceStatLoggerImpl [DruidDataSourceStatLoggerImpl.java : 77] {"url":"jdbc:h2:D:\\soft\\job\\java\\javaIDE\\eclipse_jee\\bjhy_attachment_workspace\\server-management-parent\\server-management-main-web\\data\\platform;AUTO_SERVER=TRUE","dbType":"h2","name":"DataSource-29703247","activeCount":0,"poolingCount":1,"connectCount":0,"closeCount":0}
2017-06-15 12:40:51,953 INFO [Druid-ConnectionPool-Log-29703247] c.a.d.p.DruidDataSourceStatLoggerImpl [DruidDataSourceStatLoggerImpl.java : 77] {"url":"jdbc:h2:D:\\soft\\job\\java\\javaIDE\\eclipse_jee\\bjhy_attachment_workspace\\server-management-parent\\server-management-main-web\\data\\platform;AUTO_SERVER=TRUE","dbType":"h2","name":"DataSource-29703247","activeCount":0,"poolingCount":1,"connectCount":0,"closeCount":0}
2017-06-15 12:45:51,954 INFO [Druid-ConnectionPool-Log-29703247] c.a.d.p.DruidDataSourceStatLoggerImpl [DruidDataSourceStatLoggerImpl.java : 77] {"url":"jdbc:h2:D:\\soft\\job\\java\\javaIDE\\eclipse_jee\\bjhy_attachment_workspace\\server-management-parent\\server-management-main-web\\data\\platform;AUTO_SERVER=TRUE","dbType":"h2","name":"DataSource-29703247","activeCount":0,"poolingCount":1,"connectCount":0,"closeCount":0}
2017-06-15 12:50:51,955 INFO [Druid-ConnectionPool-Log-29703247] c.a.d.p.DruidDataSourceStatLoggerImpl [DruidDataSourceStatLoggerImpl.java : 77] {"url":"jdbc:h2:D:\\soft\\job\\java\\javaIDE\\eclipse_jee\\bjhy_attachment_workspace\\server-management-parent\\server-management-main-web\\data\\platform;AUTO_SERVER=TRUE","dbType":"h2","name":"DataSource-29703247","activeCount":0,"poolingCount":1,"connectCount":0,"closeCount":0}
2017-06-15 12:55:51,956 INFO [Druid-ConnectionPool-Log-29703247] c.a.d.p.DruidDataSourceStatLoggerImpl [DruidDataSourceStatLoggerImpl.java : 77] {"url":"jdbc:h2:D:\\soft\\job\\java\\javaIDE\\eclipse_jee\\bjhy_attachment_workspace\\server-management-parent\\server-management-main-web\\data\\platform;AUTO_SERVER=TRUE","dbType":"h2","name":"DataSource-29703247","activeCount":0,"poolingCount":1,"connectCount":0,"closeCount":0}
